Accounts Fee Code :,,,,,,
ACCOUNTID,Account Name,Account Type,Retained Margin Umbrella no Expenses,Retained Margin Umbrella with Expenses,Retained Margin Non CIS (SE),Retained Margin CIS
zcrm_1171216000000206015,Agency Drivers North West - Challenge Group,Agency,19.45,19.45,19.45,19.45
zcrm_1171216000000217985,1st Executive HQ,Agency,Monthly Margin: £67.80,Monthly Margin: £67.80,NA,NA
zcrm_1171216000000217986,3MECS,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000000217987,A1 Jobs,Agency,11.95,11.95,NA,NA
zcrm_1171216000000217988,ABC Contract Services Edinburgh,Agency,,,,
zcrm_1171216000000217989,ABC UK Manchester,Agency,,,,
zcrm_1171216000000217990,Abilas Recruitment Specialists Ltd,Agency,19.95,19.95,19.95,19.95
zcrm_1171216000000217991,ABS Resourcing Ltd,Agency,,,,
zcrm_1171216000000217992,ACER (Advanced Construction Engineering Resources),Agency,£18,£18,NA,NA
zcrm_1171216000000217993,Acerta24,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000217994,Advanced Resource Managers,Agency,£26,,NA,£26
zcrm_1171216000000217995,Advantage Resourcing (XPO),Agency,25.95,25.95,NA,NA
zcrm_1171216000000217996,AF Recruitment LTD,Agency,,,,
zcrm_1171216000000217997,AFCS Ltd,End Client,,,,
zcrm_1171216000000218000,Alan Electrical,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000000218001,Alexander Associates,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000218002,Alexander Chapel Recruitment Ltd,Agency,,,,
zcrm_1171216000000218003,Alexander Mann & Public Sector Resource,Agency,£20,,NA,NA
zcrm_1171216000000218004,Alliance Workforce,Agency,£20,£20,NA,£20
zcrm_1171216000000218005,Amoria Bond,Agency,,,,
zcrm_1171216000000218006,Anderson Young UK Ltd,Agency,,,,
zcrm_1171216000000218007,Angel Human Resources,Agency,,,,
zcrm_1171216000000218008,Approved Workforce Limited,Agency,£15,£20,NA,£20
zcrm_1171216000000218009,ARC Limited,Agency,,,,
zcrm_1171216000000218010,Argo Aviation International Ltd,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218011,Arriva,Agency,,,,
zcrm_1171216000000218012,Art PPA Cover,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000218013,Aspirare Recruitment Scotland,Agency,18.45,18.45,NA,NA
zcrm_1171216000000218014,Assist Recruitment,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218015,Assured Safety Recruitment,Agency,,,,
zcrm_1171216000000218016,Assystem,Agency,£20,£20,NA,£20
zcrm_1171216000000218017,Athona Recruitment,Agency,£15,NA,NA,NA
zcrm_1171216000000218018,Auctus Workforce Solutions,Agency,,,,
zcrm_1171216000000218019,Auto Skills,Agency,,,,
zcrm_1171216000000218020,Autorefurb UK Limited,End Client,,,,
zcrm_1171216000000218021,Autoscan QA Limited,End Client,,,,
zcrm_1171216000000218022,Avanti Liverpool,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000000218023,Avanti Recruitment Limited,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218024,Avenue Scotland,Agency,14.95,14.95,NA,14.95
